TICKER,PERIOD,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
^SPX,5,20220919,183000,3861.13,3865.03,3860.49,3864.97,13792704,0
^SPX,5,20220919,183500,3865.42,3872.59,3865.42,3871.74,15423104,0
^SPX,5,20220919,184000,3871.44,3872.39,3868.41,3872.23,10223784,0
^SPX,5,20220919,184500,3872.43,3872.91,3869.76,3870.17,9467646,0
^SPX,5,20220919,185000,3870.39,3876.16,3870.39,3876.1,10934350,0
^SPX,5,20220919,185500,3876.76,3878.14,3875.09,3876.79,12403710,0
^SPX,5,20220919,190000,3876.65,3877.6,3874.69,3874.69,10561688,0
^SPX,5,20220919,190500,3874.38,3875.49,3872.7,3874.89,11068233,0
^SPX,5,20220919,191000,3875.33,3875.36,3869.39,3870.8,10865262,0
^SPX,5,20220919,191500,3870.15,3870.4,3868.03,3870.4,9627642,0
^SPX,5,20220919,192000,3870.96,3873.82,3870.47,3873.82,12906017,0
^SPX,5,20220919,192500,3874.08,3875.8,3873.5,3875.75,10820129,0
^SPX,5,20220919,193000,3876.01,3876.01,3869.14,3869.28,10916080,0
^SPX,5,20220919,193500,3868.97,3870.02,3865.98,3869.4,14003366,0
^SPX,5,20220919,194000,3869.44,3871.88,3868.95,3870.91,10892907,0
^SPX,5,20220919,194500,3870.68,3875.51,3870.68,3872.34,11022950,0
^SPX,5,20220919,195000,3871.96,3873.23,3869.56,3870.8,9421468,0
^SPX,5,20220919,195500,3870.74,3872.6,3868.97,3869.8,10817058,0
^SPX,5,20220919,200000,3869.96,3871.6,3867.46,3867.46,11996454,0
^SPX,5,20220919,200500,3867.51,3870.12,3865.94,3869.95,10661872,0
^SPX,5,20220919,201000,3869.63,3870.05,3866.6,3866.6,10230663,0
^SPX,5,20220919,201500,3865.97,3871.51,3865.9,3868.18,13317345,0
^SPX,5,20220919,202000,3868.18,3869.89,3863.07,3863.71,12327381,0
^SPX,5,20220919,202500,3863.28,3868.1,3863.28,3867.55,10449181,0
^SPX,5,20220919,203000,3867.51,3870.6,3867.51,3869.98,11588558,0
^SPX,5,20220919,203500,3870.39,3874.06,3868.72,3873.49,13547546,0
^SPX,5,20220919,204000,3873.23,3873.24,3869.29,3869.42,10764584,0
^SPX,5,20220919,204500,3869.06,3869.44,3866.89,3867.01,10149796,0
^SPX,5,20220919,205000,3867.33,3872.81,3867.33,3871.53,13433247,0
^SPX,5,20220919,205500,3871.47,3874.36,3871.44,3873.89,12442266,0
^SPX,5,20220919,210000,3874.19,3885.32,3874.19,3884.56,20922577,0
^SPX,5,20220919,210500,3884.71,3885.83,3883.46,3885.36,15769419,0
^SPX,5,20220919,211000,3885.16,3895.04,3883.91,3892.29,27700546,0
^SPX,5,20220919,211500,3893.28,3894.13,3889.87,3890.42,18442671,0
^SPX,5,20220919,212000,3890.19,3893.33,3888.73,3893.3,16790896,0
^SPX,5,20220919,212500,3893.1,3898.07,3893.03,3894.84,18337097,0
^SPX,5,20220919,213000,3896.62,3899.54,3895.78,3897.76,21972630,0
^SPX,5,20220919,213500,3896.88,3900.4,3896.13,3898.66,19917378,0
^SPX,5,20220919,214000,3898.23,3900.36,3897.32,3898.66,22137017,0
^SPX,5,20220919,214500,3897.85,3900.16,3894.24,3896.24,27478095,0
^SPX,5,20220919,215000,3894.94,3898.3,3890.31,3898.3,36337888,0
^SPX,5,20220919,215500,3898.24,3900.19,3895.59,3899.89,336572481,0
^SPX,5,20220920,153000,3869.68,3869.9,3862.56,3868.36,59972971,0
^SPX,5,20220920,153500,3866.58,3866.58,3857,3857.86,34398123,0
^SPX,5,20220920,154000,3858.58,3858.58,3851.42,3853.84,32833514,0
^SPX,5,20220920,154500,3853.89,3860.36,3853.59,3856.8,32235103,0
^SPX,5,20220920,155000,3855.51,3855.78,3849.6,3853.73,28535725,0
^SPX,5,20220920,155500,3853.93,3857.43,3853.25,3853.65,24024229,0
^SPX,5,20220920,160000,3852.75,3856.07,3849.02,3852.94,30883676,0
^SPX,5,20220920,160500,3852.45,3858.99,3852.17,3857.94,23922018,0
^SPX,5,20220920,161000,3857.8,3858.93,3847.08,3850.45,26590626,0
^SPX,5,20220920,161500,3850.5,3852.79,3846.83,3851.3,24897403,0
^SPX,5,20220920,162000,3849.45,3854.57,3849.31,3850.19,20318893,0
^SPX,5,20220920,162500,3850.09,3856.4,3849,3854.42,21448495,0
^SPX,5,20220920,163000,3853.45,3853.64,3850.01,3851.21,19233013,0
^SPX,5,20220920,163500,3850.96,3852.23,3843.63,3847.8,23471854,0
^SPX,5,20220920,164000,3847.89,3856.03,3847.89,3854.11,20515342,0
^SPX,5,20220920,164500,3853.53,3855.52,3851.92,3855.52,19775999,0
^SPX,5,20220920,165000,3856.4,3862.03,3856.01,3860.18,20042637,0
^SPX,5,20220920,165500,3860.34,3861.54,3859.11,3861.22,15674614,0
^SPX,5,20220920,170000,3861.52,3862.69,3857.22,3858.78,19518531,0
^SPX,5,20220920,170500,3858.89,3866.61,3858.11,3866.32,19928029,0
^SPX,5,20220920,171000,3866.09,3866.78,3863.78,3863.92,15389714,0
^SPX,5,20220920,171500,3864.41,3865.19,3859.84,3862.23,17474346,0
^SPX,5,20220920,172000,3861.36,3862.75,3860.02,3860.71,15506451,0
^SPX,5,20220920,172500,3860.36,3863.54,3859.49,3861.41,16123052,0
^SPX,5,20220920,173000,3861.06,3863.8,3858.75,3860.57,17136140,0
^SPX,5,20220920,173500,3860.71,3861.52,3858,3859.52,12773976,0
^SPX,5,20220920,174000,3859.39,3861.17,3858.08,3860.08,12968320,0
^SPX,5,20220920,174500,3859.95,3864.32,3859.9,3863.72,14832545,0
^SPX,5,20220920,175000,3863.75,3870.53,3861.8,3870.27,15241775,0
^SPX,5,20220920,175500,3870.34,3873.36,3870.34,3872.6,14429610,0
^SPX,5,20220920,180000,3872.66,3875,3871.5,3874.94,16009432,0
^SPX,5,20220920,180500,3874.65,3875.99,3872.43,3872.93,14734650,0
^SPX,5,20220920,181000,3872.78,3874.04,3870.46,3873.18,13145487,0
^SPX,5,20220920,181500,3872.73,3873.5,3868.74,3869.98,11910496,0
^SPX,5,20220920,182000,3870.46,3871.21,3868.28,3868.46,11393687,0
^SPX,5,20220920,182500,3868.67,3868.67,3861.72,3861.72,14783331,0
^SPX,5,20220920,183000,3861.43,3861.93,3855.45,3857.12,14523637,0
^SPX,5,20220920,183500,3856.75,3858.6,3854.96,3856.32,12665583,0
^SPX,5,20220920,184000,3856.59,3856.85,3854.76,3855.5,12731231,0
^SPX,5,20220920,184500,3855.56,3856.71,3854.33,3855.51,12882432,0
^SPX,5,20220920,185000,3855.48,3857.29,3854.81,3857.29,11356673,0
^SPX,5,20220920,185500,3858.16,3858.86,3856.67,3857.48,13199130,0
^SPX,5,20220920,190000,3857.14,3858.18,3855.51,3855.51,12477118,0
^SPX,5,20220920,190500,3854.42,3854.42,3850.76,3852.33,17594868,0
^SPX,5,20220920,191000,3852.27,3852.31,3848.85,3849.75,11333021,0
^SPX,5,20220920,191500,3849.22,3849.24,3845.77,3847.02,16553757,0
^SPX,5,20220920,192000,3847.38,3850.09,3845.58,3850.09,14739784,0
^SPX,5,20220920,192500,3849.38,3849.68,3841.71,3842.08,16257080,0
^SPX,5,20220920,193000,3840.95,3841.01,3836.31,3836.82,19415073,0
^SPX,5,20220920,193500,3836.55,3838.58,3836.36,3838.31,13322990,0
^SPX,5,20220920,194000,3838.26,3842.28,3837.4,3841.46,13678887,0
^SPX,5,20220920,194500,3840.99,3842.46,3835.96,3835.96,14112870,0
^SPX,5,20220920,195000,3835.76,3836.33,3831.58,3834.16,19120327,0
^SPX,5,20220920,195500,3833.34,3833.37,3827.6,3829.43,16529920,0
^SPX,5,20220920,200000,3829.1,3835.52,3829.1,3834.08,16808682,0
^SPX,5,20220920,200500,3834.37,3837.3,3833.76,3837.3,16575983,0
^SPX,5,20220920,201000,3837.47,3837.47,3833.88,3836.3,14760348,0
^SPX,5,20220920,201500,3836.26,3839.14,3832.83,3839.14,15444444,0
^SPX,5,20220920,202000,3839.83,3845.54,3839.04,3844.34,18160381,0
^SPX,5,20220920,202500,3844.34,3844.71,3841.24,3843.25,12172346,0
^SPX,5,20220920,203000,3841.78,3841.94,3835.79,3836.01,13046557,0
^SPX,5,20220920,203500,3835.76,3837.65,3834.55,3834.82,12210581,0
^SPX,5,20220920,204000,3835.87,3837.35,3831.02,3836.57,16126164,0
^SPX,5,20220920,204500,3836.42,3850.57,3836.15,3847.83,25208713,0
